step,loss
0,7.866419315338135
1,8.238129615783691
2,8.17115592956543
3,7.372777462005615
4,7.292392253875732
5,7.031764984130859
6,7.030247688293457
7,6.748847007751465
8,6.791933059692383
9,6.804497718811035
10,6.464478969573975
11,6.569259166717529
12,6.532737731933594
13,6.687156677246094
14,6.604855537414551
15,6.496540546417236
16,6.434872150421143
17,6.454822540283203
18,6.223666191101074
19,6.32540225982666
20,6.424964904785156
21,6.013350486755371
22,6.287542819976807
23,6.1927490234375
24,6.169663429260254
25,6.160327434539795
26,6.260003089904785
27,6.125653266906738
28,6.054419040679932
29,6.029891490936279
30,6.077348232269287
31,6.080509662628174
32,5.8916497230529785
33,5.862388610839844
34,6.049776554107666
35,5.881148338317871
36,5.878816604614258
37,5.8415608406066895
38,6.1064453125
39,5.777285575866699
40,5.870268821716309
41,5.9106125831604
42,5.893581867218018
43,5.816034317016602
44,5.8973708152771
45,5.914305686950684
46,5.861689567565918
47,5.7581634521484375
48,5.89815092086792
49,5.979349613189697
50,5.776279449462891
51,5.8912739753723145
52,5.6488037109375
53,5.697171211242676
54,5.831437110900879
55,5.91269063949585
56,5.842841625213623
57,5.8340301513671875
58,5.562739849090576
59,5.752772808074951
60,5.744947910308838
61,5.713042259216309
62,5.75632905960083
63,5.654505252838135
64,5.829246997833252
65,5.856706142425537
66,5.548574924468994
67,5.757248878479004
68,5.757720947265625
69,5.5416741371154785
70,5.673465251922607
71,5.665191173553467
72,5.544621467590332
73,5.424267292022705
74,5.534153461456299
75,5.744480609893799
76,5.568198204040527
77,5.504881381988525
78,5.448986530303955
79,5.558238983154297
80,5.576730728149414
81,5.643206596374512
82,5.584037780761719
83,5.586633682250977
84,5.749991416931152
85,5.707077980041504
86,5.588567733764648
87,5.48095703125
88,5.415635108947754
89,5.509980201721191
90,5.445572376251221
91,5.617337703704834
92,5.486401081085205
93,5.665398597717285
94,5.373314380645752
95,5.62310791015625
96,5.47744607925415
97,5.445562839508057
98,5.327966690063477
99,5.47086238861084
100,5.525545597076416
101,5.584417819976807
102,5.433061122894287
103,5.590165138244629
