step,Loss
0,11.027901649475098
1,10.91461181640625
2,10.909299850463867
3,10.761564254760742
4,10.670766830444336
5,10.600707054138184
6,10.462767601013184
7,10.401518821716309
8,10.395814895629883
9,10.261143684387207
10,10.2205810546875
11,10.106832504272461
12,9.988748550415039
13,9.844863891601562
14,9.813482284545898
15,9.732202529907227
16,9.623564720153809
17,9.422931671142578
18,9.358443260192871
19,9.34942626953125
20,9.263164520263672
21,9.22011661529541
22,9.049530982971191
23,9.142097473144531
24,8.985126495361328
25,8.86209774017334
26,8.785112380981445
27,8.755184173583984
28,8.610506057739258
29,8.535877227783203
30,8.44239616394043
31,8.32724380493164
32,8.32064151763916
33,8.2689208984375
34,8.248640060424805
35,8.146512031555176
36,7.998829364776611
37,7.956806182861328
38,7.919589042663574
39,7.851972579956055
40,7.709332466125488
41,7.775359153747559
42,7.871409893035889
43,7.5264410972595215
44,7.447238922119141
45,7.298025608062744
46,7.378933429718018
47,7.338834762573242
48,7.233225345611572
49,7.106706142425537
50,7.096549034118652
51,6.979800224304199
52,6.737204551696777
53,6.896603584289551
54,6.7383317947387695
55,6.868264198303223
56,6.722478866577148
57,6.620342254638672
58,6.55250358581543
59,6.39882230758667
60,6.412698745727539
61,6.152284622192383
62,6.165834903717041
63,6.0782575607299805
64,6.169853210449219
65,6.218719005584717
66,5.8731303215026855
67,5.892627716064453
68,5.801362037658691
69,5.664468765258789
