step,loss
0,10.97158432006836
1,10.763372421264648
2,10.558155059814453
3,10.31230354309082
4,10.11075496673584
5,9.921382904052734
6,9.70153522491455
7,9.478460311889648
8,9.390841484069824
9,9.24104118347168
10,9.096597671508789
11,8.982479095458984
12,8.880012512207031
13,8.739968299865723
14,8.622359275817871
15,8.506267547607422
16,8.355461120605469
17,8.182324409484863
18,8.136070251464844
19,7.9919047355651855
20,7.912590026855469
21,7.746294021606445
22,7.614763259887695
23,7.504210948944092
24,7.447634696960449
25,7.322240829467773
26,7.158311367034912
27,7.171304225921631
28,7.078347206115723
29,6.98568058013916
30,6.8325066566467285
31,6.709540367126465
32,6.680908203125
33,6.610180854797363
34,6.473025321960449
35,6.433014869689941
36,6.334216594696045
37,6.265259265899658
38,6.269001483917236
39,6.285086631774902
40,6.153049468994141
41,6.161391258239746
42,5.944004535675049
43,5.876811981201172
44,5.856659412384033
45,5.7861714363098145
46,5.742453575134277
47,5.919462203979492
48,5.656723976135254
49,5.6000800132751465
50,5.65494966506958
51,5.620273590087891
52,5.635806083679199
53,5.66667366027832
54,5.635594367980957
55,5.477797985076904
56,5.454678535461426
57,5.4535932540893555
58,5.384041786193848
59,5.3424835205078125
60,5.355851173400879
61,5.358582496643066
62,5.277011394500732
63,5.228178977966309
64,5.3207621574401855
65,5.155750274658203
66,5.122901439666748
67,5.118919849395752
68,5.376289367675781
69,5.184496879577637
70,5.249602794647217
71,4.999835968017578
72,5.215018272399902
73,5.139744758605957
74,5.023761749267578
75,5.224259376525879
76,5.270330429077148
77,5.140099048614502
78,4.893966197967529
79,4.923414707183838
80,5.175791263580322
81,5.161629676818848
82,4.889883518218994
83,5.061869144439697
84,4.888711929321289
85,4.989193439483643
86,4.903987407684326
87,4.720114707946777
88,4.9539008140563965
89,4.906194686889648
90,5.101167678833008
91,4.955043792724609
92,4.879538059234619
93,4.756284713745117
94,4.871851921081543
95,4.706586837768555
96,4.760125160217285
97,4.798985004425049
98,4.540736198425293
99,4.682701110839844
100,4.647661209106445
101,4.661941051483154
102,4.648646831512451
103,4.746048450469971
104,4.597691535949707
105,4.789439678192139
106,4.641869068145752
107,4.72050666809082
108,4.903807640075684
109,4.687919616699219
110,4.5339837074279785
111,4.487087249755859
112,4.875528812408447
113,4.578021049499512
114,4.444945335388184
115,4.4400482177734375
116,4.660049915313721
117,4.504814147949219
118,4.459722518920898
119,4.724115371704102
120,4.8114519119262695
121,4.610461235046387
122,4.5756025314331055
123,4.510547637939453
124,4.633898735046387
125,4.537782669067383
126,4.386145114898682
127,4.444570541381836
128,4.642049789428711
129,4.326251983642578
