step,Loss
0,7.3187642097473145
1,7.528563022613525
2,9.169766426086426
3,7.358042240142822
4,9.235536575317383
5,7.926644325256348
6,7.227975845336914
7,7.8339362144470215
8,7.196188926696777
9,7.0249505043029785
10,7.040028095245361
11,6.370500087738037
12,7.562530517578125
13,7.655544757843018
14,7.062569618225098
15,6.787387371063232
16,9.155576705932617
17,7.139781951904297
18,6.801215171813965
19,7.0292277336120605
20,6.918697357177734
21,6.795157432556152
22,7.5873122215271
23,6.046303749084473
24,6.4850687980651855
25,7.023431777954102
26,7.0788373947143555
27,6.952434062957764
28,7.098751068115234
29,6.688902854919434
30,7.086002349853516
31,7.221065998077393
32,6.739274978637695
33,6.781174659729004
34,7.163071632385254
35,6.764363765716553
36,6.392791748046875
37,6.578765869140625
38,7.243912220001221
39,6.843026638031006
40,6.599684715270996
41,6.284231185913086
42,6.452138900756836
43,6.395349025726318
44,6.450984477996826
45,6.657269477844238
46,6.761207103729248
47,6.598567962646484
48,6.662031650543213
49,6.728042125701904
50,6.519966125488281
51,6.832781791687012
52,6.070562362670898
53,7.002811431884766
54,6.860542297363281
55,6.56899356842041
56,5.521404266357422
57,6.3357834815979
58,6.319115161895752
59,6.314009666442871
60,6.2273736000061035
61,6.747952461242676
62,5.986566543579102
63,6.361998558044434
64,6.0752787590026855
65,6.522221088409424
66,5.744418621063232
67,6.704322814941406
68,6.38922119140625
69,5.824771881103516
70,6.153367042541504
71,5.598851203918457
72,6.366088390350342
73,5.606871128082275
74,6.760959148406982
75,6.229717254638672
76,6.462891101837158
77,5.727029800415039
78,6.351993560791016
79,6.316059112548828
80,6.02686071395874
81,6.323070049285889
82,5.958821773529053
83,6.152482509613037
84,5.910831451416016
85,5.535972595214844
86,6.193663120269775
87,6.802271842956543
88,6.1306471824646
89,6.157757759094238
90,4.68684720993042
91,6.170476913452148
92,5.687772750854492
93,6.124073028564453
94,5.690900802612305
